Title,Info,Rating,IMG_URL
Kenpuu Denki Berserk,"TV (25 eps)
        Oct 1997 - Apr 1998
        536,521 members",8.54,https://cdn.myanimelist.net/r/50x70/images/anime/1384/119988.jpg?s=9260c7baa7b55d81d9f6375b55a803e6
Slam Dunk,"TV (101 eps)
        Oct 1993 - Mar 1996
        254,304 members",8.54,https://cdn.myanimelist.net/r/50x70/images/anime/12/86890.jpg?s=bfc7954502569ff5c4d3533dcde8230f
Sora yori mo Tooi Basho,"TV (13 eps)
        Jan 2018 - Mar 2018
        436,299 members",8.54,https://cdn.myanimelist.net/r/50x70/images/anime/6/89879.jpg?s=273f1505d409ac20eed3e0c255a2f903
Yakusoku no Neverland,"TV (12 eps)
        Jan 2019 - Mar 2019
        1,679,977 members",8.54,https://cdn.myanimelist.net/r/50x70/images/anime/1830/118780.jpg?s=4e8a1b5b13b15d3c9172d53e3aad887b
Shingeki no Kyojin,"TV (25 eps)
        Apr 2013 - Sep 2013
        3,413,083 members",8.53,https://cdn.myanimelist.net/r/50x70/images/anime/10/47347.jpg?s=29949c6e892df123f0b0563e836d3d98
Yuru Camp△ Season 2,"TV (13 eps)
        Jan 2021 - Apr 2021
        178,695 members",8.53,https://cdn.myanimelist.net/r/50x70/images/anime/1255/110636.jpg?s=2b6005aafc62e746b64d224e60a5a8b4
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,"Movie (1 eps)
        Jan 2019 - Jan 2019
        320,746 members",8.53,https://cdn.myanimelist.net/r/50x70/images/anime/1974/98158.jpg?s=ec1b1ac07bd5fcd166381a293ae7dbee
Gintama.: Porori-hen,"TV (13 eps)
        Oct 2017 - Dec 2017
        172,529 members",8.53,https://cdn.myanimelist.net/r/50x70/images/anime/11/88325.jpg?s=01d05bdfad24f28a33faa4c5177eb02f
Jujutsu Kaisen 0 Movie,"Movie (1 eps)
        Dec 2021 - Dec 2021
        396,534 members",8.53,https://cdn.myanimelist.net/r/50x70/images/anime/1121/119044.jpg?s=1ff4db7140a7d31a110576b2699c87c1
Gintama Movie 1: Shinyaku Benizakura-hen,"Movie (1 eps)
        Apr 2010 - Apr 2010
        144,996 members",8.52,https://cdn.myanimelist.net/r/50x70/images/anime/4/28803.jpg?s=1a07403e7ad052636b75f341dc5d2b73
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,"TV (26 eps)
        Jan 2004 - Jan 2005
        210,570 members",8.52,https://cdn.myanimelist.net/r/50x70/images/anime/1480/100555.jpg?s=e05ca8d80d3998cb91cf1f9a775b78fd
